line number	sample stem	unstemmed tokens	stemmed tokens	proportion of tokens remaining	number of lines containing matching tokens
1	subcontrol	22	6	0.2727272727	0
2	overcontribut	25	6	0.24	0
3	nonnorm	28	9	0.3214285714	0
4	product	29	8	0.275862069	0
5	nondemocr	18	8	0.4444444444	0
6	hyperdevelop	20	9	0.45	0
7	unfocus	20	10	0.5	0
8	unident	24	7	0.2916666667	0
9	precomplet	21	4	0.1904761905	0
10	nonr	28	6	0.2142857143	0
11	relig	17	6	0.3529411765	0
12	remeas	25	7	0.28	0
13	recogn	20	4	0.2	0
14	unjudg	18	7	0.3888888889	0
15	nontradit	17	7	0.4117647059	0
16	definit	26	8	0.3076923077	0
17	nonrespons	15	6	0.4	0
18	describ	22	6	0.2727272727	0
19	preprov	20	5	0.25	0
20	nat	17	7	0.4117647059	1
21	nonincreas	19	6	0.3157894737	0
22	preinvolv	25	7	0.28	0
23	precommerc	15	8	0.5333333333	0
24	noncrit	13	4	0.3076923077	0
25	demonst	19	6	0.3157894737	0
26	subeffect	19	5	0.2631578947	0
27	replan	20	9	0.45	0
28	reform	14	2	0.1428571429	0
29	success	15	4	0.2666666667	0
30	subpolit	16	7	0.4375	0
31	deb	25	9	0.36	0
32	relevel	16	4	0.25	0
33	untrad	22	7	0.3181818182	0
34	nat	14	7	0.5	1
35	overenco	18	5	0.2777777778	0
36	unobserv	21	5	0.2380952381	0
37	rev	18	4	0.2222222222	0
38	outstrick	15	9	0.6	0
39	ungovern	16	8	0.5	0
40	unphys	12	5	0.4166666667	0
41	independ	10	4	0.4	0
42	undreamlik	16	6	0.375	0
43	superimprov	15	3	0.2	0
44	interest	10	2	0.2	0
45	profess	9	3	0.3333333333	0
46	superposit	12	4	0.3333333333	0
47	misbuild	10	7	0.7	0
48	repract	21	7	0.3333333333	0
49	prevent	17	7	0.4117647059	0
50	undertrain	11	6	0.5454545455	0
51	unoff	14	6	0.4285714286	0
52	unston	11	5	0.4545454545	0
53	benefit	14	3	0.2142857143	0
54	presoc	20	7	0.35	0
55	superexamin	17	5	0.2941176471	0
56	modern	11	4	0.3636363636	0
57	explain	14	5	0.3571428571	0
58	unsubject	11	4	0.3636363636	0
59	undr	17	8	0.4705882353	0
60	intern	7	3	0.4285714286	0
61	preclos	17	5	0.2941176471	0
62	reintroduc	14	4	0.2857142857	0
63	outtravel	17	5	0.2941176471	0
64	admit	15	6	0.4	0
65	underspread	10	6	0.6	0
66	noncult	13	5	0.3846153846	0
67	regrind	15	5	0.3333333333	0
68	unmaintain	10	3	0.3	0
69	undiscuss	11	3	0.2727272727	0
70	underav	13	5	0.3846153846	0
71	hum	6	3	0.5	0
72	undoct	7	2	0.2857142857	0
73	play	11	4	0.3636363636	0
74	unfact	8	2	0.25	0
75	overpow	10	4	0.4	0
76	subsmil	14	5	0.3571428571	0
77	unshak	12	4	0.3333333333	0
78	misref	17	8	0.4705882353	0
79	assocy	14	5	0.3571428571	0
80	preshap	18	5	0.2777777778	0
81	proenviron	8	5	0.625	0
82	comp	15	5	0.3333333333	0
83	nonmilit	12	7	0.5833333333	0
84	hyperperson	11	6	0.5454545455	0
85	prehandl	15	4	0.2666666667	0
86	nonunderstand	10	4	0.4	0
87	stat	16	6	0.375	0
88	unexpress	8	2	0.25	0
89	semiwild	10	4	0.4	0
90	perfect	9	4	0.4444444444	0
91	underpress	10	6	0.6	0
92	unsuff	16	5	0.3125	0
93	brok	13	6	0.4615384615	0
94	drank	7	4	0.5714285714	0
95	rebuy	10	6	0.6	0
96	changeless	11	3	0.2727272727	0
97	nontalk	8	3	0.375	0
98	outhear	8	5	0.625	0
99	preplac	10	4	0.4	0
100	light	8	1	0.125	0
				0.3674071804	
				0.1170728246	
